,댓글,혐오여부
630,"앵나오게 멋있는 년이노 같이 정상에서 만나자 이기
그리고 야간학교라고 비문해자들이나 검시정도 무료로 가르쳐 주는곳도 많으니 그것도 찾아보라이기 ",
631,고삼년 반성하고 가노 진짜 놈딱 멋있노,
632,너 글에 소질있노 나중에 책내면 69권 살거노 존경하노,
633,노무 멋지노. 나도 내 인생을 마주칠 용기가 없어서 그동안 상상속으로 회피해버리던 년이노. 인생 뭐 있노. 자기 하고 싶은 일 다 하고 때 되면 죽으면 그만이노. 니글 읽고 용기 받아가노. 고맙다 이기,
634,대단하다 돼지년들,
635,처음 읽고 한동안 계속 이 글만 생각이 났노. 그래서 또 읽고 또 읽고 생각날때다 또 읽었노. 그러다 직접 일기장에 필사했노 그만큼 내겐 영향력이 컸노 진심으로 고맙노 글쓴아,
636,꼭 책 써줘라. 꼭. ,
637,이 글 읽고 나니 야망이 막 치솟노. 내게 용기를 더해줘서 고맙다 이기야. 절대 죽지마라. 포기하지마라. ,
638,방금 전까지만 해도 지금한다고 뭐가 바뀌긴 할까라는 개돼지마인드에 우울해있었노 난 아직 안늦었노 이 글 읽고 다시 한 번 나도 할 수있단 생각 들었노.진짜 고맙노. 넌 꼭 성공살 년이노,
639,네 글보고 놈딱 감동받아서 여자답지못하게 앵나오노 넌 꼭 잘살거노 성공과 행복으로 초스피드로 가고있고 보지신이 지켜주시는게 느껴지노 책 나오면 내가 먼저 백권 사서 주변에 돌릴거노. 좆국에서 빼먹을 수 있는거 다 빼먹으면서 에너지 아끼고 더 많이 누리고살라 이기야. ebs가면 온갖 강의들 다 공짜노 박물관 미술관 갤러리 무료입장인곳 군무 많노 지역 도서관 박물관에서 매번 강연 강의 많이 하노 글쓰기 교실도 개설할때 있노 꼭 계속 글 썼으면 좋겠노,
640,앞에 쭉 읽다보니 이미 쉼터 추천한년이 있는데 꼭 들어가라 1366에서 해줄 수 있는거 없다하면 여성의전화 민우회 다 돌려봐라. 나 여성의전화 통해서 쉼터생활 해봤는데 괜찮노. 먹고자는거 생활 다 안락하고 크린했고 공부도 지원받을 수 있는거 알아봐준다이기. 쉼터에서 편하게 먹고자고 도서관가서 공부하면되노.,
641,앵흘리면서 봤노. 필력이 상여자 앵나오게 만드는 필력이노. 꼭 책 쓸 수 있을거다. 좋은 글 고맙노.,
642,앵나오노 봊나 멋진년아,
643,이거 앵나오는 야망보지노 ... 멋있다 이기야.. 정상에서 보자익,
644,"내가 장담하는데 너는 꼭 성공한다. 사람을 완전히 몰입시킬 정도로 흡입력 있는 글 쓰는거, 그거 재능이다. 보는 내내 반드시 이년은 작가가 되어야 한다는 생각밖에 안 들었노. 꼭 책 내라 꼭. 네 이야기를 세상 사람들한테 외쳐라. 온 마음 다해 응원한다 이기야. ",
645,봊나멋지네진짜 앵나오노,
646,긴글인데도 불구하고 누가봐도 대학 다 나온 자집놈보다 필력뛰어나고 읽기 쉽노 너가 꼭 너의 이야기 책으로 냈으면 좋겠노 그 누구의 글보다 너 뛰어난 글이 될거고 이 글로 인해 많은 보지들이 힘을 낼거노,
647,보지답지않게 울었노. 눈물이 폭포수처럼 쏟아지노. 내가 태어나서 본 사람 중에 가장 대단하노. 나 지금 너의 10년뒤 30년뒤 50년 뒤가 놈딱 궁금하노. 계속 그렇게 멋지게 살아서 말해주길 바라노. 정상에서 보자 이기야.,
648,응원한다 이년 에르메스길만 걸어라 이기,
649,야이년아 니 글 읽고 얼마나 용기를 얻었는지 모르노 넌 날아오를거노 반드시 말이노 머장님이란 칭호를 붙여도 안타깝지가 않노 고맙노,
650,봊나 멋있는 년이노. 넌 뭘 해도 될거다. 어차피 우리의 만남은 정상에서 이루어질거노. 살아서 웜에 글 써줘서 고맙노. 정상에서 보자,
651,뭘 해도 될년이노 놈딱 정상에서 보자이기,
652,고맙노 넌 뭘해도 될 년이노 너년이 자서전이든 뭐 어떠한 책을 내던지 간에 너년은 성공할 것이노 그리고 수 많은 보지들에게 용기를 주고 보지카르텔 만드는데 크게 일조할거노 꼭 정상에서 보자 이기야 ,
653,다시보러왔노 다시봐도 감동에 인간승리노 댓글창 보고있다면 힘내길바라노 그리고 고맙노,
654,생각 날 때마다 보고있다이기 매번 너의 글에서 용기를 얻고 더 용감하게 세상 앞으로 나아갈거다 꼭 정상에서 만나자이기,
655,힘내라,
656,응원하노,
657,크게될년이노 멋있다 이기 정상에서 만나자,
658,얘기 들려줘서 고맙노. 세상 어딘가 각자 자리에서 잘 살아보자 이기야,
659,저번에 봤는데 또 보고 댓글 남기러 왔노 수고 많았고 앞길 칭창하길 바라노 웜련은 뭐든지 할수있다이기야 화이팅이노 응원한다,
660,이년아 고생했노 넌 진짜 대단한 년이노. 뭘해도 될 년이노. 소설가? 왜 안되겠노 너 스스로 이 글을 봐라. 왜 안되겠노? 충분하다. 멋있는년,
661,오랜만에 또 보러왔노. 볼때마다 용기와 힘 얻고 가노.,
662,봊나 멋있다 이기. 특히 자살하지말라는 부분에서 더 와닿았다이기야. 이때까지 버티고 노력해온 모습이 봊나 멋있다이기. 덕분에 보지에 힘주게되노. 할 수 있다 이기.,
663,진짜 고맙노. 시기적으로 너무 어렵고 버티기 힘들어서 쉽게 무기력해졌는데 글 보고 앵나올 뻔했노. 살아줘서 군무 고맙노 너같은 년들을 죽이는 좆국이 너무나도 원망스럽고 거지같아서 이런 글 볼때마다 고맙다는 감정만 남노. 정상에서 보자.,
664,힘내라이기,
665,"보지답지 못하게 읽다가 앵나오노
앞만 보고 달리고 지칠땐 천천히 걷다가 숨고르고 다시 뛰자이기
같이 힘줘서 가장 높은 정상에서 만나자",
666,"정독하다 봊답지 못하게 앵흘렸노
너는 뭘해도 될년이다이기
가장 높은 정상에서 만나자 ",
667,봊나멋지노 자살하려는 패배감 들때마다 이 글 보노 고맙다이기야,
668,한 줄 한 줄이 너무 무겁노. 너 년의 인생이 녹아 들어있노. 고맙다 이기야. 보지에 힘주고 살자 이기야. 정상에서 보자,
669,멋있다이기. 감탄하고간다,
670,뭘해도 될 년이라는 게 딱 너 년이노 시간내서 긴 글 보여줘서 놈딱 고맙다 꼭 정상에서 보자 이기야,
671,너도 꼭 살아라 그리고 약속 지켜야 하노 책 꼭 내라 이기 기다리고 있을거노 너글 하루에 한번씩 읽고 있노 마지막 문단 지금은 다 이해할 수 없지만 나도 너만의 의미를 깨달을 때까지 그때까지 죽지읂고 좌절하지 않고 살아갈거노 반드시 그럴거노 그러니까 너도 꼭 살아서 책 내고 잘 살고 있다고 꼭 그럴거라고 믿고 있겠노 고맙노,
672,이년아 또 보러왔노 난독증인 내가 네 글 다 정독하고 보고 또 보러 올 정도면 넌 엄청난 소설가 될 수 있을 거다 이기야 남좆가놈들 다 씹어먹어버리고 노오벨문학상 당당히 타는 그날까지 살아있어라 이년아,
673,역시 보지는 위대하노,
674,수십번 읽고 읽어도 앵나오노 용기얻고 가노 살아라 날아라 난년중에 난년이기야,
675,수십번을 두고 읽을 글이노 고맙다 실질적인 도움울 주고 싶은데 나도 가난한년이지만 널 꼭 돕고싶노 여기다 이멜주소 적으면 안되는거 잘알지만 그래도 꼭 연락해주었으면 좋겠다 cosmos8749@naver.com 책이 필요하면 책울 사주고 강의가 필요하면 강의라도 지원해주고 싶노 꼭 연락 부탁하노 ,
676,번아웃왔다가 글보고 봊때리고 정신차렸노. 힘들지만 아직 번아웃올때가 아니노. ,
677,"네 글이 먼 땅 해외에 있는 누군가에게 용기가 된단 거 꼭 알아주길 마음에서 덧글 다노 내 인생 구질구질하게 살았다고 생각했는데 그렇다고 여기서 무기력해지는 건 아니란 거 알았노 살면서 내가 받았던 인격모독적 무시와 경멸, 가스라이팅, 후려치기, 이런 거 네가 받은 것에 새발의 피도 안 될 거노 너를 진심으로 존경한다 ",
678,"https://www.youtube.com/watch?v=4U532nHzIOQ
안희정 카톡 이런데 제보좀해라이기",
679,"웜련아 봊나 멋있는 인생 살았다 이기야
글 읽고 여자답지 않에 앵 나올뻔 했노",
680,하루에 한 번씩 정독하러 오노 역시 보지는 마음만 먹으면 뭐든지 할 수 있는 우월한 유전자를 가졌노 뿐만 아니라 봊나 강인하고 곧은 사람들이 많다 이기 야망보지는 닥워추고 글쓴웜처럼 노력하고 꺾이지 않는다면 어딜 가나 뭘 해도 다 할 수 있을 거노 ,
681,너련 이야기 들으니까 너무 남일 같지 않은게 앵나올뻔했노 너련한테 많이 배우고 가노 포기하지 말고 자댕이들 다 밟고 꼭 성공해서 행복하길 바라노.,
682,멋있노 무력보지 될 뻔 한 거 반성한다 열심히해서 정상에서 만나자,
683,힘내라 멋지다이기,
684,잘새겨듣겠노,
685,보지답지 않게 앵 흘릴 뻔 했노. 너는 뭘 해도 될 년이다. 살아가는 사람은 살아남는 사람을 이기지 못하노. 가만히만 있어도 살아지는 놈들은 나를 죽이려고 작정한 세상에서 살아남은 년들을 절대 이기지 못하노. 너는 지금부터 뭘 하든 다 성공할 거다 이기야. 지금까지 하나씩 이뤄내지 않았노. 책을 낸다면 꼭 사 읽겠노. 꼭 정상에서 보자 이년아 ,
686,기개를 보니 정상에서 볼 년같다 이기야 할 수 있노 보지로 태어났는데 자트릭스 함 뿌솨뿌솨 해야하지않겠노 힘내라이기,
687,너는 강한 '혼자'다 이기야. 너는 누구보다 강하다 이기야. 보석같은 글 고맙노. 너는 희망이노. 글이 찰지게 읽힌다 이기.,
688,"야 이년아 너보고 웜들어왔다가 댓글쓰려고 워념, 베스트만 6969일째 읽고 드디어 쓴다이기야. 넌 뭘하든 잘될년이노. 너로인해 많은 년들이 오늘도 웜년으로 각성한다이기야. 무력감올때마다 보지때리면서 노력하겠노. 꼭 정상에서 만나자. 바라건데 용감하고 가장 뛰어나기를",
689,나였노. 이년아 지금 살아는 있노? 이 댓 쓰려고 처음으로 아이디 파노. 잘 데 없어지면 추운 데서 자지 말고 대학 동아리에 들어가라 이기. 서웜데 웜세대 고웜대 다 괜찮다. 가서 66이 학교 학생이 아닌데 동아리에 가입하고 싶다.99 연락하면 66어디서 왔노?99할 거노. 66아는 동생한테 소개받았는데 여기 꼭 들어오고 싶다.99하면 대부분 다 들여보내 준다 이기. 지금 소개받고 있으니 틀린 말도 아니노. 나이 따위는 걱정 말아라 이기. 운동 동아리는 평균 연령이 높아서 나이가 대학원 밑으로만 내려가도 신기해할 지경이노. ,
690,들어갔으면 열심히 활동하다가 저녁 되면 거기서 자라. 동방보다 안전한 곳이 없노. 부장한테 허락맡거나 안 맡아도 어물쩍 잘 수 있다 이기. 그런 식으로 동방에서 6개월씩 사는 좇놈들도 많노. 네 자는 곳에 좇놈 끼는 거 싫으면 여자 동아리 들어가라. 학교는 잘 곳 옆에 씻을 곳이 있는 게 장점이노. 화장실에 샤워실도 있고 노무딱 깨끗한 쀼젤이노. 몇 개월 살다 보면 학번이랑 비번 몇 개는 단체카톡으로 받아볼 수 있을 거노. 그걸로 학사포탈 들어가서 도서관도 들어가서 책도 보고 논문도 보고 도서관 수면실도 써라.,
691,"수면실도 군무군무 따뜻하고 도둑도 없노. 컴퓨터가 널려 있으니 싹싹 먹버해라이기. 내가 스무 살 때 이렇게 살았노. 벌써 일 년 전이노. 송도에서 신촌 올라올 때마다 모부랑 싸워서 이래 잤노. 현생은 아직도 좇창났지만 네 글 보고 행동해야 산다는 걸 깨치고 가노. 보답으로 정보 하나 흘리고 간다 이기. 정상에서 보자.
+추가) 며칠이나 지났다고 현생 술술 풀리고 있노. 너도 현생 반드시 풀릴 거노. 안 풀릴 리가 없노. 우린 가장 높은 곳에서 만날 거다. ",
692,봊멋이노 학력스펙때문에 우울해하던 내가 바보같노 진짜 크게될년이노,
693,이걸 이제야 봐서 얼마나 후회되는지 모를거노 몇분동안 앵쏟아냈노 꼭 책 냈으면 좋겠고 나오면 꼭 읽겠노 봊나멋있노 살아줘서 고맙고 응원한다이기 ,
694,정상에서 만나자이기,
695,피ㅢ싸개는 강간터는게 제맛이노,
696,오,
697,ㅎ,
698,뭘ㆍ카노,
699,짧은 글인데도 흡입력. 호소력 장난 아니노. 죽지 말고 어떻게해서든 살아남아라. 끝내 살아남아 니가 쓴 책 읽고싶노. ,
700,야망보지는 워추노. ,
701,"1페이지 초반만에 관잦들 못참고 쟥댕이 해뤠 부랄떠는거 보면 이글은 진품중의 진품이노, 이년아 봊나 멋있고 내가 왠만해선 머리 안숙이는 사람인데 글 읽다보니 절로 숙연해져있는 내가 있더노! 뭘해도 될년 탈조까지 완벽하게 다 해치워라 이기야! ",
702,"나자신이 놈딱 한심해지더노, 이년아 너는 내가 보증한다 잘살게 될거노 ",
703,"이름있는 대학에서 영어배우고 영어 잘하는 련이다. 혹시나 영어 공부하다가 궁금한거 막막한거 생기면 언제라도 (지금도 너련이 볼지 모르겠지만), ma69raa@gmail.com 재기 먹을거 각오하고 계정새로 팠노 발음이나 문장을 만드는 법 알려주고싶노. 너련 현생살기도 바쁠텐데 영어공부할때만큼은 여기저기 발품파는 너련 시간과 비용을 조금이라도 줄여주고싶다. 좆국에서 영어까지 잘하면 똑같은 시간을 일해도 정신적 신체적 손상 없이 훨씬 더 많은 돈을 벌수있다. 그리고 훨씬 더 넓은 세상이 펼쳐지노 꼭 영어공부 놓치마라",
704,야망보지는 워추,
705,읽다가 앵나왔노 이년 대단한 년이다 이니야 힘내라노 ,
706,멋진 글 고맙노 언젠가는 꼭 네 책 출판되는 날이 올거노 서점에서 보면 꼭 사겠노,
707,이년아 읽고 또 읽는다이기,
708,또 읽고있노 잘살고있노 용기 얻고 간다 이기야,
709,고맙노,
710,꼭 성공했으면 좋겠노.,
711,고맙노 살아야겠다,
712,"듀오링고, 멤라이즈, 드롭스 라는 앱으로 영어든 어떤 언어든 기초는 배울수 있노. 글보다가 진짜 앵나올뻔했노 열심히살았다고 등 토닥여주고싶노 우리 다같이 정상에서 만나자 이기야",
713,성공할거노 지금 당장 책써도 될 거 같노 막힘없이 읽었고 내 가슴을 패더노 글 솜씨가 있다 뭘 하든 다 잘 돼라,
714,오랜만에 다시 글 보러 왔노. 볼때마다 여자답지 않게 앵나온다 이기야. 이 글 보고 야망 세우러 가노. ,
715,링크타고와서 다시보노. 넌 진짜 뭘해도잘될거노,
716,방금 이 글 필사 끝냈노 한자한자 정독하면서 다시 앵이 나오고 처음 읽을때보다 더 크게 감명받았노. 에이포 꽉 채워서 두장 반 나왔다이기. 요 며칠 개돼지마냥 굴었는데 봊잡고 다시 정신붙들어맸다. 두번째글도 곧 필사하겠노,
717,참으로 인생이....,
718,넌 될 년이노. 나도 될 년이노. 꼭 성공해라. 정상에서 보자,
719,몇달전에 읽었던 글인데 요즘 무기력해지길래 또 읽어보노. 두려움은 내가 만드는 것이다 라는 말 두고두고 새기겠노. 정말 고맙다,
720,행복하게 살아라,
721,글 써줘서 정말 고맙다 이기야 보지답고 정말 멋있노,
722,잘살고있노 오랜만에 읽으러왔다 너는 수많은 어린 너에게 용기를 북돋아주는 존재노. 동시에 뭔가를 해낼수 밖에 없는 존재다 너는 대단한 보지노 기억하고 잊지말아라 응원하노,
723,고맙노 나도 힘내서 열심히 노력하겠다 이기야,
724,존경하노,
725,가난하고 직업도 없이 알바만 하며 무기력했던 내가 공감하며 읽었노. 용기얻고 간다 이기야,
726,보지답지 않게 울면서 읽었노. 나도 내 인생 멱살 꽉 잡고 뚫어져라 쳐다보며 살겠노. 글 정말 잘 읽었노. 나중에 출판하면 꼭 소장하고 싶노. ,
727,존나 불쌍한 웜련이노^^. 그러면 내가 니년 미래를 써주겟노. 닌 나중에 학력때문에 직업도 못가지고 혼자 방구석에 클리토리스 손으로 존나 비비면서 남들 게임할때 지는 보지에 손으로 게임쳐하다가 보지 다 썩어서 한남충 강제로 결혼당해서 집 천장에 줄로 24시간 매달려서 강간엄청당해서 나중에 몸 다 닳아서 병걸려서 병원못가고 거기서 눈뜬채로 굶어 뒤짐 ㅋㅋㅋ. 아이고 불쌍해서 ㅉㅉ,
728,책 꼭 내줘라이기야 두고두고 읽으면서 가보로 간직할거노. 물론 후세는 없지만ㅋ 삶이 무력해질 때마다 니 책 읽고 다시 일어설거노. 야망있게 살자,
729,대단한년이노 워추주노 정상에서만나자 이기야,
730,미래의 의사선생님이노 이기이기 실수로 자댕이 죽일 생각은 즈얼대 하지 말어라이기야^느^,
731,머한민국 똑똑한년들은 워마드 하는게 참팩트였노,
732,서웜대 퍄 자댕이들 다 살남하고 밟고 올라 정상해서 보자이기,
733,수능 끝판왕이노 ,
734,자댕이 의료사고인 척 재기시키고 동료 남의사한테 뒤집어 씌워라 이기야. 의료꿘은 닥치고 워추다 이기.,
735,와 좆한민국에서 수능으로 최상위스펙아니노 멋지다이기,
736,서웜대 의대 자뎅이들은 쳐다보지도 못하는곳이다이기 엘리트 년이다이기 ,
737,남자가 6 여자가 4면 남자가 더 많은거노? 알았다 이기,
738,머치동 입시학원 조교하는 웜련이노 작년에 정시로 입학한6사람9 3명 이노 관잦들한테 저격 당하는거 아니노,
739,상위 0.02% 세계에는 남녀비율 6:4 정도로 남자가 더 많은거노? 일반사회에는 5:5인뎅. 알았다 이기,
740,멋글 워딩 서웜공학대/련->년 주의 앙망하노,
741,국시떨어지는거 다 자댕이었노?ㅋㅋㅋ 상대평가도 아닌데 왜떨어지노 한심하노 이래서 좆놈들 뽑으면 안된다는거노 이제 40퍼 찾아왔으니 곧 다뺏어오겠노 껄껄,
742,좆부둥부둥받고 햰실얘섀는 오댸오~ 타령하는 좆멍청한 관잦수준 지잡세계는 다 자지밭이다 후려치기받는 여자들이랑 비교가 되나. 역시 자지는 지능이 낮아ㅋ,
743,연도는 안나와있어서 작년 아닐수도 있노 특정하지말자이기야 추가하노 나 왜 소추주노? 글쓴년 셀탈될까걱정된다이니야 설웜공학대 봊멋인데 조심해야하지않노,
744,한남 6969명 부탁하노이기,
745,수능 끝판왕이노이니,
746,살남 효율 ㅂㅅㅌㅊ인건 역시 의료꿘 아니겠노 ^문^,
747,멋지노. 살남꿘 돼서 하나씩 다 죽여버려라 이기,
748,변호사시험 5탈자도 거의 자댕이인 쀼젤 ㅋㅋㅋㅋ수컷 미ㅡ개,
749,의료꿘 보지머장이라 워추 주고 가노 ㅋㅋ 재수웜년인데 서웜대 타과 노리고 있노. 존경스럽노 곧 따라간다이니,
750,앵나오노 정상에서보자 이기,
751,멋있노 이기야,
752,멋지노 나도 공부 힘준다 이기 꼭 정상에서 보자,
753,내가 설대 아니라서 몇년도 양식 합격증인진 모르겠지만 학생증 재발급 안받았다고 하는게 미래의 의느님 아니고 현직일수도 있노. 현직 의사까지 합치면 누군지 더 특정하기 힘들거다 이니야.,
754,자댕이 실수로 죽이는 의료사고 조심하라 이기야 ㅋㅋ,
755,이년뭐노 봊멋이노 앵나온다이기,
756,진정한 사회지도층이노 정상이서 보자 이기,
757,키야아아 앵나오노 멋지노 살남힘줘라이기,
758,의대노? 봊나 멋지노. 인증은 워추라 이기야,
759,글쓴 거 봐라 머장스럽다이니야 기받아가노ㅋㅋㅋㅋㅋ멋글에 오르비창놈 관잦 온몸을 자들자들거리노 자드르르르르르르 소추찍 앵나 쳐웃기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ깔깔깔,
760,봊멋 인증꿘은 아묻따 ㅇㅊ 주노 감격의 앵이 줄줄줄 흐르노 정상에서 만나자 이기야,
761,어떤 관잦 새끼가 댓글마다 재기 쳐누르는 것 같노. 글쓴년 봊나 멋있노. 의료사고인척 연쇄살남 앙망,
762,나중에 위에가서 한남들 동향 쫌 올려달라이기,
763,이년 여자중의 여자노. 의료사고로 가장해서 암살하면 안되노 깔깔,
764,머단한년이노. 의료계도 무조건 여자들이 다 먹어야하노. 여학생 비율이 30-40이라니 말도 안되노. 자댕이들은 일 시키면 안된다이기야. 정상에서 보자,
765,믓찌다 이기 자극받고가노,
766,인증은 무조건 워추노. 멋있노,
767,서울의예 떨어진 관잦있나보노 모든 댓글에 소추달고있다 이기야ㅋ,
768,987 이기야노 제대로써라이기 저댓에 워추준놈들 윾입이노?,
769,모든 댓글에 소추 하나씩 박혀있노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ관잦 파오후 자들자들잼,
770,"앵나오노.
봊대장끼 팍팍느껴지노 살남 69696669명 부탁한다 이기야",
771,봊멋이노 정상에서 보자 이기야,
772,캬 봊멋이노 닥 ㅇㅊ다 이기야,
773,와 진짜 끝장났노. ㅋㅋ 아니 5천명도 안되는 곳에 유럽 중국 일본 한국 다 말아 먹은 거 실화노?,
774,의료꿘은 워추노. 서웜대가 괜히 서웜대가 아니더노.,
775,봊멋이노 정상에서보자 이기야,
776,미래가 기대되노 워추춘다 이기야,
777,여윽시 웜년은 지능순이노 나도 현생 힘주겠다이기야,
778,최고노 자댕이들 코를 콱 눌러줘라 이기야,
779,위에서 보자 기받고 간다이기,
780,노무멋지노,
781,가고싶었던 곳에 다니는 년이노 ㅋㅋㅋㅋㅋ,
782,남초입시사이트 유충들 좆물질질 싸고있겠노 ,
783,놈딱 멋지다 이기 삼수생 봊잡고 열심히하겠노,
784,봇멎이노. 가서 댕청한 자댕이들 재기시켜야한다이기,
785,봊간지다이기야,
786,정상에서 만나자이니,
787,대한민국 엘리트는 보지년들이 다 먹여살리노ㅋㅋㅋㅋㅋ 정상에서 보자 이기야,
788,서웜대 문과년인데 노무현 부럽노 정상에서 보자 이기,
789,워추야,
790,보지 대장이노 멋있다 이기야,
791,워친 따라가겠노 이기야,
792,위에서 보자,
793,진짜 군무 멋있노,
794,보지답게 멋있다 이기야,
795,이제 보지들이 다 정복하고 있노 자랑스럽노,
796,나도 재수중인데 수능 만점 노리노 꼭 내년에 글쓰겠노 정상에서 보자이기,
797,봊나 멋있노 ,
798,멋지노 자극 받고 가노,
799,봊나 멋있노 나도 아웃풋에 기여하기 위해 열심히 공부하겠노,
800,역시 큰일은 여자가 하노,
801,정상에서 보자 이기야,
802,정상에서 보자 이기야 너의 앞날 응원하노,
803,멋지노 정상에서 보자,
804,봊풍당당하노 열심히 의술수련해서 의술사고로 둔갑해서 조두순같은 성범죄자 부랄 제거해달라 이기 ^^69,
805,역시 여성이 다 해먹노. 공부꿘 멋있노,
806,"987 뭔소리노 지잡에도 웜년들 있다이기야 많다고는 할 수 없지만, 좆국 버리고 탈조 준비하는년들 많다이기",
807,정상에서 만나자 이기 멋있노,
808,머장님이노 금털이다이기,
809,멋지다 이기,
810,ㅍㅎㅎㅍ,
811,넣ㄴㅍㅁ,
812,ㄴㄴㅎㅁㅎㅁㅎ,
813,ㅊㄷㅊㄷㅊ,
814,ㄹㅍㅍㄲㅍ,
815,ㄴㅎㄴㅆ,
816,ㅇㅈㄹㅈ,
817,ㄴㅍㄴㅎㅁㅎ,
818,ㅌㅊㅁ1ㄹㅂㄱㅂ51,
819,ㅊㄲㄹ,
820,ㄹㄱㅊㄱㄷㅇㅇㄷㅇㄷㅇㄷㅊㄷ,
821,ㅁㅎㅂㅎㄹㅃㅊㅇㅃㅊㅂ,
822,ㅁㅎㅁㅎㅁㅎㅁㄹㅂㄹㅂㄱㅂㄱㅂㄱㅃ,
823,봊간지다이기야,
824,멋지노이기야!,
825,멋지노. 나도 너웜상 금방 따라잡겠노. 정상에서 보자,
826,우아 멋잇노.. ,
827,봊멋터진다이년아 정상에서만나자이기야,
828,멋있노 정상에서 만나자 이기 ,
829,서웜대 보고 자극받아서 공부에 힘줘야 겠노,
830,공부 더 힘줘서 야망 실현해야겠노 정상에서 만나자,
831,너 덕분에 의료계의 미래가 밝노,
832,쓸모없어진 40대 좆집은 40대되면 불알을 떼서 온순하게 만들어야 하노..,
833,역시웜은 지능순이다이기야,
834,끼야..직장다닐때 설대파충류년이 비정규 여자들 꽃놀이시켜서 세상이 망조라 생각했는데 너같은 웜년이 있어 불행중 다행이니야. 응원하노! 정상에서보노. ,
835,서웜대 웜이 먹어버렸노ㅋㅋㅋㅋ깔깔깔ㅋㅋㅋ장난으로 살남하면 저얼대 안되노~^^,
836,정상에서 보자,
837,ㄱㄱ,
838,치대미만 잡,
839,ㅇㅊ,
840,부럽노 믓지다이기야,
841,자집놈들 관음하다가 소추 쪼그라들어서 나가겠노ㅋㅋㅋㅋ 멋지다 이기!,
842,멋있노 이기야,
843,살벌하노,
844,중급식년인데 이년 보고 목표 다잡노 ^느^,
845,봊멋이다 이기야 정상에서 만나자,
846,야망힘준다이기,
847,봊멋이노 정상에서 보자 이기야,
848,개돼지들 인간관계에 집착하면서 자기 망치는거 보면 한심하노. 물론 어느정도의 커뮤니케이션이나 인간관계는 필요하다고 생각하지만 인간관계에 무식할정도로 집착하면서 지 인생 망치는것들은 멍청해도 그렇게 멍청할 수가 없노. 특히 좆국에서 인간관계 웅앵웅하는것들이 위아래로 많노,
849,통찰력에 클리탁치고간다이기. 그래서 자댕이들이 그러엏게 부랄딸랑이고 즈그상사들에게 후장대주면서 자릉내풍기고다니는거엿노.,
850,고독한 보지인데 난 똑똑하진 않고 통찰력은 깊은편인거 같노. 개돼지마냥 우르르 하지 않노 ,
851,맞는말이노 개돼지들 왜이렇게 뭉치지못하면 불안해하는거노 ,
852,타인한테 6인정9받는게 인생의 목표같노 좆팔 이해 1도안가는 쀼젤 ,
853,만나서는 똑같은 얘기 6969번 하고 결론은 답 없는거 6969 반복해서 해서 좆도 재미없노 사람 만나는데 투자하는 시간이 많으니 할일도 제대로 못하고 능률도 떨어지는거 아니겠노,
854,타고나길 활달해도 능력있는년들은 혼자 뭔갈 하는 걸 개의치 않아하고 자신감도 있노 혼자 아무것도 못하고 무리에서 나오는 게 놈딱 두려우면 문제있는게 맞노,
855,맞노 나는 태생이 혼자있길 좋아하는 년이노 한때 사회성키워보겠다고 개돼지들이랑 어울리다보니 점점 기분이 재기따라가노 다들 남한테 빌붙어서 비굴하게 사는건 체질에 안맞지않노 똑똑한보지들은 그냥 자기능력따라 살아라 우리는 그게 맞노,
856,든걸 혼자 해결할 수 있는 보지와 야망만 있으면 세상 뭐가 무섭노? 괜히 개돼지들 웅앵웅 들어주면 정신건강만 썩노 혼자있는게 최고다이니야,
857,놈딱 맞는말이노 자댕이들이 서열충인것도 그런 이유다이기 보지들은 혼자여도 잘만 살기 때문에 서열충이 될 수가 없는거노 반면 자댕이는 유사인류라서 서열을 매기고 그 서열에 따르지 않으면 바로 생존탈락이기 때문에 서열충으로 태어나는거노,
858,아이큐가 높을 수록 혼자 있기 좋아하다는 연구결과도 있노,
859,"나한테 연락하는 새끼들 대부분이 즈그들이 필요할 때만 연락하는거였노.
정작 나는 그놈들한테 연락할 일이 없었노.
도움 필요할 일이 없더라이기.
결국 이거해줘, 저거해줘 찡찡대는 개돼지들 쳐내다보니 점점 홀로서게 되더노.
몸과 마음은 훨씬 편하고 개돼지들한테 시간, 돈 들일 일 없어서 이득이더노.
어차피 인생은 혼자 와서 혼자 가는 것이노. 외로움은 내가 감내해야 할 감정이지 타인을 통해서 풀 수 있는게 아니노. 실제로 외로움 핑계대며 한남과 혐애하는 흉자 대부분이 66남친,남편 있어도 외롭다99 는 소리를 한다. ",
860,정상을 향하는 자는 고독한법이노,
861,맞노 혼자 생활하면 자기봊대로 할수 있노 인간관계도 서로 필요에 의한거노 노무 집착할필요없노,
862,개돼지 까고 싶은 마음은 잘 알겠는데 웜상들 모에화는 하지말자 좆나 오윾같다,
863,단체생활 하다보면 타인의 기분을 맞춰줘야하는것과 같이 다니지 않으면 왜 혼자다니냐고 눈치주는게 빡쳤노 굳이 에너지 소비하면서 단체생활하는거 혐오했는데 혼자 다니니 그리 좋더노 깔깔깔,
